,Unnamed: 0,index,heartrate,steps_window_12,anomaly
30,30,2024-08-13 06:00:00,1.742302627979348,0.1117997108529606,-1
32,32,2024-08-13 08:00:00,1.6488953398967423,0.1206026677859599,-1
35,35,2024-08-13 12:00:00,1.444715595023001,0.1519160431619154,-1
41,41,2024-08-14 01:00:00,1.5614935362120004,0.3151480160052469,-1
45,45,2024-08-14 05:00:00,1.5327067741137008,0.2833316145188346,-1
46,46,2024-08-14 06:00:00,1.4309672068251031,0.2833316145188346,-1
49,49,2024-08-14 09:00:00,1.1722729748741816,0.3829307843893426,-1
56,56,2024-08-14 20:00:00,-0.302767097759469,1.964462840884724,-1
57,57,2024-08-14 21:00:00,-0.92706019054931,2.57882606250146,-1
59,59,2024-08-15 02:00:00,-0.7923629188783559,2.262272263493564,-1
62,62,2024-08-15 06:00:00,-0.4320183221047697,1.8348653496127416,-1
64,64,2024-08-15 08:00:00,-0.1863836809049775,1.1866407523721887,-1
67,67,2024-08-15 15:00:00,-0.2680627825359431,1.2008198008606987,-1
68,68,2024-08-15 16:00:00,-0.3916610655388394,1.3341750299641888,-1
69,69,2024-08-15 17:00:00,-0.5655142298725125,1.4589822324868584,-1
76,76,2024-08-16 00:00:00,-0.600385514257127,1.370622552271876,-1
78,78,2024-08-16 02:00:00,-0.5289746426808687,1.3567893342343054,-1
79,79,2024-08-16 03:00:00,-0.5470179700034932,1.3271631922705085,-1
82,82,2024-08-16 06:00:00,-0.6031064357840864,1.1524035377292003,-1
85,85,2024-08-16 11:00:00,-0.8775377926792911,1.1877328485330485,-1
89,89,2024-08-16 15:00:00,-0.0996790884261799,0.906545753547462,-1
90,90,2024-08-16 17:00:00,0.1315784436118593,0.6976364947440713,-1
91,91,2024-08-16 19:00:00,0.4357253125152239,0.3459269261388408,-1
111,111,2024-08-18 05:00:00,0.3522219150002639,0.5350961828026174,-1
113,113,2024-08-18 08:00:00,0.3213083041406804,0.5627626188777592,-1
117,117,2024-08-18 17:00:00,-0.7118224225898099,2.159604211638249,-1
118,118,2024-08-18 20:00:00,-1.0806352181863517,2.2258612574446714,-1
120,120,2024-08-19 01:00:00,-1.1921256920953498,2.233815357816275,-1
134,134,2024-08-19 18:00:00,-0.8730369142983876,1.684743011094247,-1
140,140,2024-08-20 03:00:00,-0.4301562530093336,1.4578871027255509,-1
146,146,2024-08-20 10:00:00,-0.3915192983228345,1.0606047658076578,-1
147,147,2024-08-20 12:00:00,-0.3443031958929765,1.2033943164399137,-1
148,148,2024-08-20 13:00:00,-0.2829095374377695,1.02931095255822,-1
150,150,2024-08-20 15:00:00,-1.789846029142202,2.2216421259432138,-1
152,152,2024-08-20 18:00:00,-1.931709426361534,2.273793357944854,-1
153,153,2024-08-20 23:00:00,-1.709366177384763,1.7705408857380385,-1
155,155,2024-08-21 01:00:00,-1.3921488766788097,1.346276088525752,-1
159,159,2024-08-21 06:00:00,-0.5452221689670265,0.9546379241420776,-1
162,162,2024-08-21 09:00:00,-0.841917400956381,0.9220804574036524,-1
164,164,2024-08-21 11:00:00,-0.9998693755940304,0.8325103706103839,-1
169,169,2024-08-22 00:00:00,-1.6122552205423093,1.3108630503495715,-1
176,176,2024-08-22 08:00:00,-1.7941134437012884,1.4175566848993475,-1
177,177,2024-08-22 09:00:00,-2.079830054416873,1.6524249654372398,-1
180,180,2024-08-22 17:00:00,-2.1503153687716816,2.275315011928987,-1
181,181,2024-08-23 01:00:00,-2.102079368971618,2.275315011928987,-1
182,182,2024-08-23 02:00:00,-1.9662629715496245,2.178284868265457,-1
184,184,2024-08-23 04:00:00,-1.6123124752567075,1.8225735472993576,-1
192,192,2024-08-23 13:00:00,0.8299668588146881,0.0868999183853342,-1
200,200,2024-08-24 01:00:00,0.4749342929640907,0.0969086584948698,-1
291,291,2024-08-29 20:00:00,0.397529681056567,0.4347325456195072,-1
302,302,2024-08-30 16:00:00,0.3207118609663004,1.6190671482266423,-1
304,304,2024-08-30 22:00:00,0.1786887524041053,2.116405919722395,-1
306,306,2024-08-31 01:00:00,0.1758578698929809,2.330647884079269,-1
314,314,2024-08-31 12:00:00,0.7626569738719675,1.910641474798008,-1
317,317,2024-08-31 16:00:00,0.8722923602214526,1.4526641761716204,-1
322,322,2024-09-01 00:00:00,0.54964614994166,1.3884081183201806,-1
328,328,2024-09-01 07:00:00,0.0296982325496238,1.222607119269873,-1
332,332,2024-09-01 12:00:00,0.1748330980318144,0.938334488597798,-1
413,413,2024-09-06 23:00:00,-0.9201165456658932,0.5848957677378716,-1
418,418,2024-09-07 05:00:00,-1.145540719157235,0.6485285707106965,-1
425,425,2024-09-07 16:00:00,-0.644614584801384,0.5608413385947638,-1
427,427,2024-09-07 18:00:00,-0.3636988340289854,0.3323242617352308,-1
428,428,2024-09-07 19:00:00,-0.1794100418311544,0.2071425059426777,-1
532,532,2024-09-13 18:00:00,-1.1527280833702716,0.0377919943519584,-1
534,534,2024-09-13 22:00:00,-1.1067138890857544,0.0762944512231962,-1
548,548,2024-09-14 17:00:00,-1.1942518336631756,0.2294142344468153,-1
549,549,2024-09-14 18:00:00,-1.5990899357276882,0.8551622651469056,-1
552,552,2024-09-14 23:00:00,-1.685272008550319,1.214952738622416,-1
555,555,2024-09-15 02:00:00,-1.259275717267747,0.8909557168191192,-1
560,560,2024-09-15 10:00:00,-1.0045448866890785,0.612562203813013,-1
564,564,2024-09-15 14:00:00,-1.2889208543682362,0.6983281556459497,-1
568,568,2024-09-16 01:00:00,-1.4162238873985291,0.7930228209395004,-1
571,571,2024-09-16 04:00:00,-1.0501174969246807,0.557624566463804,-1
572,572,2024-09-16 05:00:00,-0.9084939013404284,0.4440274973886123,-1
573,573,2024-09-16 06:00:00,-0.7708117608981893,0.2316876005119055,-1
575,575,2024-09-16 08:00:00,-0.5735802504466098,0.0753393004539351,-1
581,581,2024-09-16 16:00:00,-0.4045146989450518,0.1876134308199791,-1
582,582,2024-09-16 17:00:00,-0.8202183375770706,0.4534801963809519,-1
590,590,2024-09-17 04:00:00,-0.5850475576612003,0.6117322107307587,-1
635,635,2024-09-21 02:00:00,0.6549042399959532,0.5094418511693055,-1
648,648,2024-09-21 22:00:00,0.5139542247762354,0.6377386606413911,-1
650,650,2024-09-22 00:00:00,0.5678659916515841,0.699711477449706,-1
